client_id,group,error
72388,test,missing_confirm
72395,test,went_back:step_1_to_start
72395,test,repeated:start
72395,test,repeated:step_1
72915,test,repeated:confirm
72988,test,missing_confirm
72988,test,repeated:start
73453,control,went_back:confirm_to_start
73453,control,repeated:start
74169,control,went_back:confirm_to_start
74169,control,repeated:start
74169,control,repeated:step_1
74564,test,missing_confirm
74564,test,went_back:step_3_to_start
74564,test,repeated:start
74844,test,missing_confirm
74844,test,went_back:step_3_to_start
74844,test,repeated:start
74976,test,went_back:step_1_to_start
74976,test,repeated:start
74976,test,repeated:step_1
75381,control,missing_confirm
76429,test,went_back:step_1_to_start
76429,test,repeated:start
76429,test,repeated:step_1
76429,test,repeated:confirm
76481,test,went_back:step_1_to_start
76481,test,went_back:step_1_to_start
76481,test,went_back:step_1_to_start
76481,test,went_back:step_2_to_step_1
76481,test,went_back:step_1_to_start
76481,test,repeated:start
76481,test,repeated:step_1
76481,test,repeated:step_2
76635,test,missing_confirm
76635,test,went_back:step_2_to_step_1
76635,test,went_back:step_2_to_step_1
76635,test,repeated:step_1
76635,test,repeated:step_2
76775,test,missing_confirm
76776,control,went_back:step_3_to_start
76776,control,went_back:confirm_to_start
76776,control,repeated:start
76776,control,repeated:step_1
76776,control,repeated:step_2
76776,control,repeated:step_3
77071,control,went_back:step_3_to_step_2
77071,control,repeated:start
77071,control,repeated:step_2
77071,control,repeated:step_3
77513,test,went_back:step_1_to_start
77513,test,repeated:start
77513,test,repeated:step_1
77513,test,repeated:step_3
77651,test,missing_start
78720,test,missing_confirm
78728,control,missing_confirm
78728,control,went_back:step_3_to_start
78728,control,repeated:start
78779,test,missing_confirm
78779,test,repeated:start
78917,control,missing_confirm
78917,control,went_back:step_1_to_start
78917,control,repeated:start
78917,control,repeated:step_1
79127,control,went_back:confirm_to_start
79127,control,went_back:step_1_to_start
79127,control,repeated:start
79127,control,repeated:step_1
79229,control,missing_confirm
79229,control,went_back:step_2_to_start
79229,control,repeated:start
79452,test,repeated:confirm
79571,control,repeated:confirm
79669,test,missing_confirm
79669,test,went_back:step_1_to_start
79669,test,repeated:start
79669,test,repeated:step_1
79679,control,repeated:confirm
79819,control,missing_confirm
79819,control,repeated:start
79897,test,went_back:step_1_to_start
79897,test,repeated:start
79897,test,repeated:step_1
79897,test,repeated:confirm
80006,test,went_back:step_3_to_start
80006,test,repeated:start
80006,test,repeated:step_1
80006,test,repeated:step_2
80006,test,repeated:step_3
80126,test,repeated:confirm
80127,control,went_back:confirm_to_start
80127,control,went_back:step_1_to_start
80127,control,repeated:start
80127,control,repeated:step_1
80241,control,missing_confirm
80241,control,repeated:start
80275,test,went_back:step_2_to_start
80275,test,went_back:step_1_to_start
80275,test,repeated:start
80275,test,repeated:step_1
80275,test,repeated:step_2
80275,test,repeated:confirm
80479,test,went_back:step_2_to_start
80479,test,repeated:start
80479,test,repeated:step_1
80479,test,repeated:step_2
80479,test,repeated:confirm
80801,test,missing_confirm
80801,test,went_back:step_3_to_start
80801,test,went_back:step_3_to_start
80801,test,repeated:start
80801,test,repeated:step_1
80801,test,repeated:step_2
80801,test,repeated:step_3
80915,control,repeated:step_3
81119,test,missing_confirm
81119,test,went_back:step_2_to_start
81119,test,repeated:start
81303,test,repeated:start
81303,test,repeated:confirm
81601,control,repeated:start
81601,control,repeated:confirm
81720,test,repeated:start
81720,test,repeated:confirm
81816,control,missing_confirm
82206,test,repeated:confirm
82560,test,missing_confirm
82560,test,repeated:start
82712,control,missing_confirm
82712,control,went_back:step_3_to_step_2
82712,control,went_back:step_3_to_step_2
82712,control,went_back:step_3_to_start
82712,control,repeated:start
82712,control,repeated:step_2
